2016299162;SUU;4;1
2017135075;BAJ;2;1
2016274180;SUU;2;3
2016114574;CMB;5;1
2016753228;CMB;5;3
2017550094;EAN;5;3
2015582326;CMB;5;2
2017330548;BAJ;2;1
2016028482;IFX;4;1
2016732222;EAN;1;3
2017234610;CMB;5;3
2016040355;CMB;5;2
2017472272;CMB;5;3
2017990451;NVL;2;2
2017550094;EAN;5;1
2016274180;SUU;5;2
2016827222;IFX;4;1
2015525818;EAN;5;3
2017849861;EAN;5;1
2015525818;EAN;5;3
2017301139;CMB;2;3
2016114574;CMB;1;2
2016673312;NVL;1;3
2017301139;CMB;5;1
2015285550;VNH;5;2
2016481483;NVL;1;2
2017800192;CMB;5;2
2017849861;EAN;1;3
2017441447;VNH;3;3
2017550094;EAN;1;2
2015161391;IFX;4;1
2016028482;IFX;4;1
2015285550;VNH;2;3
2015619321;SUU;1;2
2017329181;IFX;4;2
2016673312;NVL;1;3
2015812852;NVL;2;3
2015679741;NVL;1;2
2016627350;VNH;3;1
2017220201;CMB;1;3
2015306629;CMB;2;1
2016299162;SUU;2;1
2016827222;IFX;4;1
2017470449;IFX;2;1
2015619321;SUU;5;3
2016028482;IFX;4;1
2016114574;CMB;2;2
2017441447;VNH;4;1
2017800192;CMB;5;1
2017990451;NVL;1;2
2016049736;BAJ;2;2
2016114574;CMB;5;1
2015525818;EAN;1;1
2015219059;CMB;2;2
2016627350;VNH;4;1
2017419797;SUU;1;2
2017419797;SUU;4;3
2017330548;BAJ;2;1
2016517723;SUU;1;1
2017652302;EAN;2;1
2017301139;CMB;5;1
2016114574;CMB;5;3
2015306868;VNH;3;3
2016673312;NVL;2;2
2016279991;IFX;4;1
2017330548;BAJ;2;2
2016274180;SUU;4;3
2015306868;VNH;3;3
2016114574;CMB;5;2
2016627350;VNH;2;2
2016274180;SUU;2;1
2016049736;BAJ;2;1
2015092736;CMB;2;3
2015092736;CMB;5;1
2017912503;NVL;1;3
2016627350;VNH;2;2
2015679741;NVL;1;3
2016673312;NVL;2;1
2016481483;NVL;1;2
